left_out_index,mu_asinh,ci_lb,ci_ub,mu_beta,ci_lb_beta,ci_ub_beta
1,3.0484733034288354,2.4365554865323524,3.6603911203253183,10.517850505811353,5.673064043725021,19.425411427504837
2,3.0215102353150036,2.4097025752650163,3.633317895364991,10.236767082013875,5.5204040551007365,18.905861626787082
3,3.0691415309041203,2.4541064437995406,3.6841766180087,10.738478264891558,5.775045750384212,19.89360517437587
4,3.0080222938506718,2.3926127603001386,3.623431827401205,10.098963899553672,5.425327489913765,18.719616556049694
5,3.0330955786214493,2.42040891198384,3.6457822452590585,10.356617732359453,5.580786779039666,19.143315050222668
6,2.9933690545298752,2.3850166852667476,3.601721423793003,9.951336561455074,5.3835782048631895,18.317006522464627
7,3.036416375149774,2.4336794693333887,3.639153280966159,10.391227071407464,5.656520112390765,19.016661355634028
8,3.0297837866315755,2.4238292912974546,3.6357382819656965,10.322215984508235,5.600211890651065,18.951740510374417
9,3.0218990198475364,2.409063195961789,3.6347348437332836,10.240766697006952,5.516818108022018,18.932706692213404
10,3.0488928022914004,2.449573220096259,3.6482123844865417,10.522283555096122,5.74853583910256,19.18995597213298
11,3.0302499186687712,2.422276366318864,3.6382234710186787,10.327051147986117,5.591384370008991,18.998963262213874
12,3.039335823308261,2.4340593734382203,3.6446122731783017,10.421748199443181,5.658702778565984,19.120900465559167
13,3.0394818829172645,2.434240540201296,3.644723225633233,10.423277498468703,5.659743925035406,19.123024993462586
14,3.0258446403266364,2.4186536516189583,3.6330356290343144,10.281444880749028,5.57084362034479,18.9005184318479
15,3.033649362330066,2.4338540733179066,3.6334446513422254,10.362381320610409,5.657523164696301,18.908261559592063
16,3.0328997048044872,2.43196101551895,3.6338383940900245,10.354579906256308,5.646657259462077,18.915718421005987
17,3.04200601344497,2.445647510747606,3.6383645161423335,10.44974124813891,5.725674087192623,19.001646871674513
18,3.0423992869617984,2.434732425774264,3.6500661481493326,10.45387043733117,5.6625716770284535,19.225610875796605
19,3.041352995948589,2.4335828487258033,3.649123143171375,10.442888437414648,5.655965127451599,19.20746506647171
20,3.00875038609008,2.397559030838687,3.619941741341473,10.106355514207468,5.45268114834841,18.65430420597037
21,2.999282296939212,2.3896650413428167,3.608899552535607,10.010651915052433,5.40908930237766,18.449157178899085
22,3.0097038098641673,2.399328783725153,3.6200788360031817,10.116042803337121,5.462500531372777,18.656865458782136
23,3.015283080682254,2.40429530187674,3.626270859487768,10.172915780906731,5.490148477664863,18.772913437046405
24,3.0233847582702196,2.4158088167921545,3.6309606997482846,10.25606547430838,5.554764703226057,18.861286998523365
25,3.0038669739676087,2.393423886686391,3.6143100612488266,10.05688131246692,5.429804030736686,18.549393555026978
26,2.995826372387537,2.390048480266384,3.6016042645086896,9.97594338496996,5.411198901603606,18.314857445075283
27,3.0291057617993813,2.419064637016308,3.6391468865824548,10.315186871575188,5.573170220994341,19.016539588183566
28,3.0159659678176634,2.406031445856642,3.625900489778685,10.179898590048554,5.49984526932566,18.765951948491125
29,3.004791548972402,2.397315628868199,3.6122674690766052,10.066229807611705,5.451331981626583,18.51148836006401
30,3.0068918642046327,2.3957886230381717,3.6179951053710937,10.08749835042888,5.442875218983882,18.61797424851767
31,3.059895778651175,2.4419786307636757,3.6778129265386745,10.639220954452872,5.704387782258964,19.767250523787453
32,3.0045516374785812,2.393338985291628,3.6157642896655346,10.063803205657537,5.429335299472882,18.57642740409168
33,3.0183105891292206,2.406576562923607,3.630044615334834,10.203909482821912,5.502893300681095,18.843992111625294
34,3.019630818529876,2.407744053774168,3.6315175832855844,10.217454418534315,5.509426848189259,18.871808216160456
35,3.001500787297831,2.3914672569262367,3.6115343176694252,10.032995634269096,5.41901162885639,18.497901821991032
36,2.9529728647928777,2.370103011831755,3.5358427177540004,9.555326659743985,5.302511600845684,17.14739685919298
37,2.9585939217008206,2.3739197745795844,3.543268068822057,9.609482266986163,5.323145459286726,17.275412524647262
38,2.962659393024498,2.376835959375507,3.5484828266734896,9.648839827667752,5.33896293252095,17.3658857222832
39,3.036538585155009,2.424470065314238,3.6486071049957802,10.392502927812604,5.603858271759142,19.197542414049735
40,3.023339054217643,2.411131597515483,3.6355465109198026,10.25559451838749,5.528426860911826,18.948101407798198
41,3.110530356934624,2.479306787623755,3.741753926245493,11.194180701888044,5.924594078246643,21.07408962406278
42,2.9939192821516367,2.381867714333096,3.6059708499701775,9.956841144841476,5.366362156250044,18.395124815560646
43,3.019228310676206,2.408311991461604,3.6301446298908084,10.213322990326025,5.51260787274044,18.845879531265755
44,2.999430862628028,2.388545843830021,3.6103158814260348,10.012146666892171,5.402936263449352,18.475344122855553
45,3.041292309465634,2.428819156872941,3.6537654620583266,10.442251815466681,5.628668043367228,19.296960301593664
46,3.045501581690917,2.433312125686802,3.657691037695032,10.486499824329576,5.654410386270913,19.372962504968566
47,3.016980896456094,2.402926814401284,3.631034978510904,10.190285435464645,5.4825168024313244,18.86269001131442
48,3.0442928233969315,2.4389763484429183,3.6496092983509447,10.473774334900037,5.687026118161454,19.216817792087017
49,3.039797154589315,2.435423755284418,3.6441705538942126,10.42657926946715,5.666548308537401,19.11244471741043
