substudy_num,alpha_hat,beta_hat,alpha_se,beta_se,alpha_ci_lower,alpha_ci_upper,alpha_variance,beta_ci_lower,beta_ci_upper,beta_variance
1,0.000166667,3.34E-06,5.93E-05,2.43E-07,6.06E-05,0.00030303,3.82E-09,2.29E-06,4.61E-06,3.49E-13
5,0.009090909,0.001242424,0.003087674,0.001092312,0.003787879,0.016414141,1.04E-05,-0.000515152,0.004030303,1.34E-06
6,0.008490909,-0.000548485,0.002172968,0.00066611,0.004906061,0.014006061,5.39E-06,-0.001518182,0.001293939,5.15E-07
7,1.00E-15,0.013672727,0.000723222,0.0028578,NA,0.009292929,NA,0.008763636,0.021036364,9.80E-06
8,0.001707071,0.000311111,0.000300854,0.000126606,0.001141414,0.002353535,9.56E-08,8.89E-05,0.000622222,1.85E-08
9,0.002020202,0.039292929,0.000144126,0.003170599,0.001717172,0.002323232,2.39E-08,0.032727273,0.046515152,1.24E-05
10,0.000972727,-4.87E-06,0.000179563,3.82E-05,0.000654545,0.00139697,3.59E-08,-6.96E-05,9.22E-05,1.70E-09
11,0.000464646,0.000142167,0.000209082,5.08E-05,8.08E-05,0.000949495,4.91E-08,5.53E-05,0.000276364,3.18E-09
12,1.00E-15,0.001090364,0.000492272,0.000239577,NA,0.001010101,NA,0.00068003,0.001687212,6.60E-08
13,0.003575758,-0.000303364,0.000334491,0.000113277,0.002969697,0.004333333,1.21E-07,-0.000498909,8.18E-07,1.63E-08
14,0.000363636,0.000191886,0.000198177,5.11E-05,1.00E-15,0.000808081,4.25E-08,9.98E-05,0.000314637,3.00E-09
15,0.00010101,2.25E-06,9.65E-05,6.92E-07,NA,0.000343434,NA,1.48E-07,5.39E-06,1.79E-12
17,1.00E-15,0.000284747,0.000431664,5.95E-05,NA,0.000681818,NA,0.00017697,0.000431717,4.22E-09
18,0.00620202,-5.66E-05,0.000747892,0.000139262,0.004757576,0.008040404,7.01E-07,-0.000262626,0.000424242,3.07E-08
19,0.001030303,1.48E-05,0.000209872,2.10E-05,0.000636364,0.001484848,4.69E-08,-2.18E-05,6.60E-05,5.01E-10
20,0.004565657,-0.000188313,0.000303336,3.05E-05,0.004010101,0.005323232,1.12E-07,-0.000235707,-0.000101424,1.17E-09
27,0.000560606,4.64E-06,0.000115632,3.32E-07,0.000333333,0.000818182,1.53E-08,1.36E-06,8.47E-06,3.28E-12
28,0.000424242,1.74E-05,0.000164139,2.61E-06,0.000121212,0.000787879,2.89E-08,1.24E-05,2.42E-05,9.13E-12
30,1.00E-15,0.006060606,0.000526597,0.000283514,NA,0.000530303,NA,0.005454545,0.006666667,9.56E-08
49,1.00E-15,0.019090909,1.16E-05,0.000642071,NA,2.53E-06,NA,0.017878788,0.020606061,4.84E-07
52,0.006060606,0.005153172,0.001806495,0.00096575,0.002424242,0.01,3.73E-06,0.003335111,0.007577253,1.17E-06
53,0.007575758,0.002627,0.001481853,0.000682204,0.00479798,0.010858586,2.39E-06,0.001415,0.004344,5.58E-07
55,1.00E-15,0.010969859,0.000254657,0.001099155,NA,0.000333333,NA,0.008884364,0.013837415,1.60E-06
57,0.002424242,0.023,0.004639597,0.004242593,NA,0.012525253,NA,0.015,0.034,2.35E-05
58,0.010606061,6.70E-05,0.001710823,0.000744185,0.007272727,0.014545455,3.44E-06,-0.001223109,0.001888445,6.30E-07
59,0.014242424,0.00234634,0.002517856,0.001319819,0.009393939,0.01969697,6.91E-06,9.29E-05,0.005639758,2.00E-06
60,0.001616162,0.00758039,0.002402842,0.001416563,NA,0.006969697,NA,0.005055414,0.011115358,2.39E-06
61,1.00E-15,0.008899394,0.001389801,0.001367719,NA,0.001515152,NA,0.006452929,0.012813737,2.63E-06
62,0.002227273,-0.000117435,0.000254806,0.000223304,0.001727273,0.002772727,7.11E-08,-0.000534707,0.000375705,5.39E-08
63,1.00E-15,0.012915979,0.000987616,0.002006925,NA,0.001868687,NA,0.009063094,0.018213697,5.45E-06
64,1.00E-15,0.001896218,0.001966893,0.000635647,NA,0.004747475,NA,0.000841891,0.003854255,5.91E-07
65,0.005656566,0.001605799,0.003432599,0.000248235,NA,0.013131313,NA,0.001153239,0.002239383,7.68E-08
68,0.009090909,0.01459596,0.001889519,0.000985887,0.005252525,0.012929293,3.84E-06,0.012575758,0.016868687,1.20E-06
69,1.00E-15,0.717171717,0.000731401,0.10437371,NA,0.002121212,NA,0.527777778,0.96969697,0.012709065
70,0.003737374,0.321212121,0.000868199,0.031615648,0.002020202,0.005555556,8.13E-07,0.263636364,0.393939394,0.001104935
71,0.006868687,0.180808081,0.00074884,0.013620377,0.005252525,0.008484848,6.80E-07,0.154545455,0.213131313,0.000223364
72,0.007676768,0.000169495,0.00261328,0.000141196,0.003030303,0.013737374,7.46E-06,-5.37E-05,0.00054899,2.36E-08
73,1.00E-15,0.000969697,0.000871545,0.000256039,NA,0.005454545,NA,0.000557576,0.001622222,7.38E-08
74,0.021616162,-0.004514845,0.001773203,0.004525847,0.018080808,0.025505051,3.59E-06,-0.013122452,0.006244664,2.44E-05
75,0.827272727,0.111943434,0.023175483,0.038038352,0.778787879,0.875757576,0.000611927,0.038483838,0.191279798,0.001519328
76,0.016090909,0.001716162,0.000983525,0.00168872,0.014121212,0.018191919,1.08E-06,-0.001513131,0.005366667,3.08E-06
77,1.00E-15,0.031212121,0.000162963,0.000918635,NA,3.88E-05,NA,0.029393939,0.033181818,9.34E-07
80,1.00E-15,0.000100446,0.000460028,2.23E-05,NA,0.004141414,NA,6.10E-05,0.000157415,6.05E-10
87,0.002989899,3.97E-05,0.000395254,4.14E-06,0.002181818,0.003878788,1.87E-07,3.16E-05,4.93E-05,2.03E-11
90,1.00E-15,0.003585739,0.00101528,0.000673335,NA,0.008686869,NA,0.002419072,0.00529685,5.39E-07
91,0.005757576,-8.28E-05,0.000423446,3.03E-06,0.00540404,0.007272727,2.27E-07,-8.97E-05,-5.54E-05,7.68E-11
92,0.061515152,-0.000733464,0.010398377,0.001816259,0.043333333,0.085757576,0.000117127,-0.003123844,0.006096195,5.53E-06
