substudy_num,alpha,beta,sigma
244,0.006891,0.014107,0.182368
245,0.001194,0.002036,0.123302
246,0.00071,0.002255,0.182121
250,0.012177,0.000067,0.004473
16,0.00001,0.00001,0.006662
