"substudy_num","alpha","beta","alpha_variance","beta_variance"
191,0.0105555555555556,-0.00618181818181818,2.60308204914619e-07,1.23915310769273e-06
192,1e-15,0.949494949494949,NA,14.4653914863297
193,0.00681818181818255,7.68080808080808e-05,1.34456717414565e-06,5.50581743288696e-09
194,0.0026262626262635,0.000910638484848485,NA,2.04094538885316e-08
197,1e-15,0.00366618945454545,NA,4.81221742072895e-07
198,0.0205050505050512,0.00744418092929293,6.29881582262517e-05,4.3858214677629e-06
209,1e-15,0.00954545454545454,NA,1.91891315223765e-07
212,1e-15,0.12959595959596,NA,0.00160346507749105
214,0.136363636363637,0.0525245151515152,0.00121011045673118,0.000774478437034242
215,1e-15,0.111818181818182,NA,0.000698959799807931
220,0.257575757575758,0.0370490581818182,0.00406731570179091,0.000745274931894343
221,0.141414141414142,-0.0182630163636364,0.00321368154215578,0.00072957443500818
222,1e-15,0.0313112041919192,NA,5.28819255361943e-05
223,1e-15,0.0113641126666667,NA,7.04140025941362e-06
224,0.260606060606061,-0.0282424242424242,0.000537826869658304,3.65437820712138e-05
225,0.00454545454545536,6.51818181818182e-05,5.97585410731401e-07,2.47230406752008e-10
226,0.00545454545454609,0.000384848484848485,7.90306705692235e-07,3.16122682276936e-10
244,0.0056056057,0.0165665665665666,5.17332953465021e-05,0.000287516219255624
245,0.0034034035,0.0012012012012012,5.68125928709743e-06,5.45065148876219e-07
246,1e-10,0.00245245245245245,1.27725005872763e-06,22768266.6354432
248,1e-15,0.0611111111111111,NA,2.37181649519312e-05
249,1e-15,0.0124365546666667,NA,6.44329779940645e-06
250,1e-10,0.0001001001001001,1.12592105064336e-09,1128.17669405661
251,0.0436363636363645,0.00828282828282827,0.000185108056828172,0.00182086664991515
252,0.0580808080808088,0.434909090909091,0.000219529640470093,0.00596390837495396
255,1e-15,0.00302020202020202,NA,1.59422507907356e-08
256,0.581818181818182,-0.000131313131313131,0.00203345035596118,4.69808370241271e-09
257,0.0606060606060615,0.000335770646464647,0.00130140822781515,1.13916337080943e-08
258,0.0482828282828283,-0.00112969696969697,6.0077678241827e-05,8.85157560272411e-08
259,0.242424242424243,0.0138585858585859,0.00484044182692472,0.000126684282528438
260,1e-15,0.00149905454545455,NA,8.13920316453027e-07
261,1e-15,0.000464242424242424,NA,2.41416952455913e-07
265,0.00131313131313218,0.000164166262626263,NA,1.35381255898633e-09
266,0.0582828282828283,-0.000828567606060606,3.25352056953789e-06,2.51021681780373e-09
267,1e-15,5.06169696969697e-05,NA,1.18787980818284e-10
268,0.0119090909090909,-0.00012,5.1685162174163e-07,1.70003753580041e-10
276,1e-15,0.0225252525252525,NA,2.76323493922222e-05
277,1e-15,0.0351717171717172,NA,6.73137204632919e-05
278,1e-15,0.20530303030303,NA,0.00530275780408301
279,0.0381818181818182,-0.00206060606060606,1.87402784805382e-05,2.44770984235601e-07
280,0.0363636363636371,0.00090483402020202,4.31755459253466e-05,6.67440327830203e-07
281,0.0159090909090917,0.010738588040404,NA,2.13822197322035e-06
282,2.07575757575758,-0.0477777777777778,0.0468506962013455,0.000443201875804138
