g_sp,study_num,substudy_num
Brachyistius_frenatus,13,49
Brachyistius_frenatus,32,101
Chromis_cyanea,18,57
Chromis_cyanea,18,58
Chromis_cyanea,18,59
Chromis_cyanea,18,60
Chromis_viridis,73,256
Chromis_viridis,73,257
Chrysiptera_parasema,62,225
Chrysiptera_parasema,74,258
Chrysiptera_parasema,74,259
Chrysiptera_parasema,76,265
Chrysiptera_parasema,76,266
Coryphopterus_glaucofraenum,15,52
Coryphopterus_glaucofraenum,15,53
Coryphopterus_glaucofraenum,30,97
Coryphopterus_glaucofraenum,30,98
Coryphopterus_glaucofraenum,45,139
Coryphopterus_glaucofraenum,45,140
Coryphopterus_glaucofraenum,45,141
Coryphopterus_glaucofraenum,45,142
Coryphopterus_glaucofraenum,45,143
Coryphopterus_glaucofraenum,45,144
Dascyllus_aruanus,6,15
Dascyllus_aruanus,6,16
Dascyllus_aruanus,7,17
Dascyllus_aruanus,7,18
Dascyllus_aruanus,9,27
Dascyllus_aruanus,9,28
Dascyllus_aruanus,33,102
Dascyllus_aruanus,33,103
Dascyllus_flavicaudus,38,115
Dascyllus_flavicaudus,38,116
Dascyllus_flavicaudus,38,117
Dascyllus_flavicaudus,38,118
Dascyllus_flavicaudus,38,119
Dascyllus_flavicaudus,55,200
Dascyllus_flavicaudus,55,201
Dascyllus_flavicaudus,55,202
Dascyllus_flavicaudus,55,203
Dascyllus_flavicaudus,55,204
Dascyllus_flavicaudus,55,205
Dascyllus_melanurus,74,260
Dascyllus_melanurus,74,261
Dascyllus_melanurus,76,267
Dascyllus_melanurus,76,268
Dascyllus_trimaculatus,26,80
Dascyllus_trimaculatus,28,87
Dascyllus_trimaculatus,38,121
Dascyllus_trimaculatus,70,250
Diplodus_puntazzo,23,69
Diplodus_sargus,23,70
Diplodus_vulgaris,23,71
Elactinus_sp.,41,132
Elactinus_sp.,41,133
Elactinus_sp.,81,278
Elactinus_sp.,81,282
Epinephelus_malabaricus,1,1
Epinephelus_merra,22,68
Fundulus_heteroclitus,2,5
Fundulus_heteroclitus,2,6
Fundulus_heteroclitus,2,7
Gillichthys_mirabilis,24,72
Halichoeres_garnoti,46,163
Halichoeres_garnoti,46,164
Halichoeres_garnoti,46,165
Halichoeres_garnoti,46,166
Halichoeres_garnoti,46,167
Halichoeres_garnoti,46,168
Halichoeres_garnoti,49,172
Halichoeres_garnoti,49,174
Leptocottus_armatus,24,73
Lythrypnus_dalli,20,65
Lythrypnus_dalli,30,90
Lythrypnus_dalli,30,91
Notolabrus_celidotus,4,9
Paralabrax_clathratus,57,209
Pomacentrus_amboinensis,5,10
Pomacentrus_amboinensis,5,11
Pomacentrus_amboinensis,5,12
Pomacentrus_amboinensis,5,13
Pomacentrus_amboinensis,6,14
Pomacentrus_amboinensis,7,19
Pomacentrus_amboinensis,7,20
Pomacentrus_amboinensis,48,170
Pomacentrus_amboinensis,48,171
Pomacentrus_moluccensis,17,55
Pomacentrus_pavo,69,249
Pomacentrus_wardi,3,8
Rhinogobiops_nicholsii,20,64
Rhinogobiops_nicholsii,30,92
Rhinogobiops_nicholsii,30,93
Rhinogobiops_nicholsii,30,94
Rhinogobiops_nicholsii,30,95
Rhinogobiops_nicholsii,30,96
Sagamia_geneionema,19,61
Sagamia_geneionema,19,62
Sagamia_geneionema,19,63
Sebastes_atrovirens,51,185
Sebastes_atrovirens,51,186
Sebastes_atrovirens,51,187
Sebastes_atrovirens,51,188
Sebastes_atrovirens,51,189
Sebastes_atrovirens,51,190
Sebastes_atrovirens,51,191
Sebastes_atrovirens,51,192
Sebastes_atrovirens,52,193
Sebastes_atrovirens,52,194
Sebastes_spp_NA,82,279
Sebastes_spp_NA,82,280
Sebastes_spp_NA,82,281
Stegastes_leucostictus,53,197
Stegastes_leucostictus,53,198
Stegastes_partitus,37,109
Stegastes_partitus,37,110
Stegastes_partitus,37,111
Stegastes_partitus,37,112
Stegastes_partitus,37,113
Stegastes_partitus,37,114
Stegastes_partitus,80,276
Stegastes_partitus,80,277
Tautogolabrus_adspersus,16,54
Tautogolabrus_adspersus,72,255
Thalassoma_amblycephalum,61,220
Thalassoma_amblycephalum,61,221
Thalassoma_amblycephalum,61,222
Thalassoma_amblycephalum,61,223
Thalassoma_amblycephalum,61,224
Thalassoma_bifasciatum,11,30
Thalassoma_bifasciatum,25,74
Thalassoma_bifasciatum,25,75
Thalassoma_bifasciatum,25,76
Thalassoma_bifasciatum,25,77
Thalassoma_bifasciatum,49,173
Thalassoma_bifasciatum,49,175
Thalassoma_bifasciatum,68,248
Thalassoma_hardwicke,31,99
Thalassoma_hardwicke,43,136
Thalassoma_hardwicke,58,212
Thalassoma_hardwicke,71,251
Thalassoma_hardwicke,71,252
Thalassoma_quinquevittatum,60,214
Thalassoma_quinquevittatum,60,215
Trachinops_caudimaculatus,63,226
Trachinops_caudimaculatus,67,244
Trachinops_caudimaculatus,67,245
Trachinops_caudimaculatus,67,246
