substudy_num,beta_min,beta_max,alpha_min,alpha_max,sigma_min,sigma_max
1,-2.66E-08,1.04E-05,1.00E-15,0.0005,,
2,0.001758234,0.2,1.00E-15,0.1,,
3,-0.000608,0.5,1.00E-15,0.1,,
4,-0.002,0.2,1.00E-15,0.1,,
5,-0.001,0.005,1.00E-15,0.025,,
6,-0.0021,0.0075,2.70E-03,0.03,,
7,0.0014,0.05,1.00E-15,0.02,,
8,-0.0002,0.002,1.00E-03,0.003,,
9,0.015,0.08,1.00E-15,0.005,,
10,-0.0001408,0.0005,4.00E-04,0.0025,,
11,-3.15E-05,0.00075,1.00E-15,0.002,,
12,0.000307,0.004,1.00E-15,0.004,,
13,-6.51E-04,1.50E-03,2.00E-03,0.005,,
14,-1.27E-05,0.001,1.00E-15,0.002,,
15,-9.00E-07,5.10E-05,1.00E-15,0.001,,
16,-3.00E-02,3.00E-02,1.00E-17,5.00E-01,0.00E+00,1.00E+01
17,-1.00E-01,0.001,1.00E-15,0.0025,,
18,-4.00E-04,0.003,2.00E-03,0.015,,
19,-6.20E-05,3.00E-04,1.00E-15,0.003,,
20,-2.91E-04,0.0001,3.00E-03,0.008,,
27,-4.10E-06,5.00E-05,1.00E-15,0.0015,,
28,4.46E-06,4.00E-05,1.00E-15,0.0015,,
30,0.0025,0.01,1.00E-15,0.0025,,
31,0.00001,0.08,1.00E-15,0.15,,
49,0.015,0.03,1.00E-15,5.00E-05,,
52,0.000002,0.03,1.00E-15,0.03,,
53,0.000001,0.01,1.00E-15,0.025,,
54,0,1,1.00E-15,0.01,0,0.1
55,0.004192001,0.03,1.00E-15,0.001,,
56,0.000157529,0.001357529,1.00E-15,0.01,,
57,1.00E-03,0.1,1.00E-15,0.02,,
58,-0.002513266,0.005,1.00E-15,0.03,,
59,-0.002160443,0.015,1.00E-15,0.03,,
60,5.46E-06,0.05,1.00E-15,0.01,,
61,1.56E-03,0.05,1.00E-15,0.003,,
62,-0.00125545,0.0025,5.00E-04,0.005,,
63,0.002320545,0.05,1.00E-15,0.005,,
64,8.88E-05,0.015,1.00E-15,0.01,,
65,0.000519655,0.005,1.00E-15,0.02,,
68,0.005,0.03,1.00E-15,0.02,,
69,0.25,1.5,1.00E-15,0.005,,
70,0.2,0.5,1.00E-15,0.01,,
71,0.1,0.3,1.00E-15,0.02,,
72,-2.10E-04,0.002,1.00E-15,0.02,,
73,3.00E-04,0.002,1.00E-15,0.02,,
74,-0.021012759,0.05,5.00E-03,0.04,,
75,0.0091,0.3,7.00E-01,1,,
76,-3.90E-03,0.01,9.00E-03,0.022,,
77,0.025,0.04,1.00E-15,4.00E-05,,
78,1.99E-05,0.020985802,1.00E-15,0.05,,
79,0.0001,0.0003,1.00E-15,0.05,,
80,8.42E-06,0.000442257,1.00E-15,0.005,,
87,2.00E-05,7.00E-05,1.00E-15,0.008,,
90,0.001019072,0.008719072,1.00E-15,0.02,,
