substudy_num,site,mean_perm2,se_perm2,duration,length_mm
200,1,0.003322234,0.000268995,12,12
201,2,0.00508938,0.000896649,12,12
202,3,0.000353429,2.99E-05,12,12
203,4,0.002191261,0.000119553,12,12
204,5,0.001555088,8.97E-05,12,12
205,6,0.002120575,0.00017933,12,12
 , ,,,,
