g_sp,beta_est,ci.lb,ci.ub
Brachyistius_frenatus,213.77202825775024,2.352893161733679,18616.64970689105
Chromis_cyanea,57.430700059151675,1.483980621314202,2015.4795088545789
Chromis_viridis,0.43837632307383284,-29.23282344880805,68.4692633152733
Chrysiptera_parasema,0.2579546177942263,-6.625486484163508,11.077236867919574
Coryphopterus_glaucofraenum,50.43454474016571,6.6140252997139415,382.48467070790554
Dascyllus_aruanus,0.24047658626504023,-3.7085852285198997,6.037538908645034
Dascyllus_flavicaudus,8.190698703745818,1.0179776952137252,55.281961024497676
Dascyllus_melanurus,1.577513062900395,-3.525553033171145,42.66768361704099
Dascyllus_trimaculatus,1.6520820415128552,-5.31494480843366,68.83690764487781
Diplodus_puntazzo,7171.717169999986,12.850250148151002,3996489.813477738
Diplodus_sargus_sargus,3212.1212099999993,5.745552447549763,1782378.1392752428
Diplodus_vulgaris,1808.0808100000029,3.1856506316633078,1002106.7015877005
Elacatinus_evelynae,8.275391138629711,-0.4899076361765689,221.2166937798914
Epinephelus_malabaricus,0.0334,-267.4632727414544,285.9366497884344
Epinephelus_merra,145.9595999999998,-0.6854913188562594,80867.75786765841
Fundulus_heteroclitus_heteroclitus,5.0889567854479365,-2.031431098960428,226.7675268091363
Gillichthys_mirabilis,1.6949500000000002,-90.62824242404905,1215.9858805525205
Halichoeres_garnoti,1.8544716529960492,-1.0585838211314138,19.719216765215236
Leptocottus_armatus,9.696969999999999,-14.543650933597878,5505.770291711848
Lythrypnus_dalli,5.071508033876721,-1.7468751766311161,197.14235259595952
Notolabrus_celidotus,392.92928999999987,0.35593722406315165,217855.9876068798
Paralabrax_clathratus,95.45455,-1.276971911788739,52830.00261308468
Pomacentrus_amboinensis,0.8117155695331687,-1.8435353911990147,8.658187536511457
Pomacentrus_moluccensis,109.69859000000011,-1.0680069927156879,60919.91727595265
Pomacentrus_pavo,124.36555000000006,-0.9039192690149317,69661.78726861789
Pomacentrus_wardi,3.11111,-45.68219567742822,1859.0971497219855
Rhinogobiops_nicholsii,1.0545544156564133,-3.0646156173705417,19.76185588721934
Sagamia_geneionema,16.723993348806946,-0.25631071842295483,722.1298732400007
Sebastes_atrovirens,26.35774052546252,3.0192539338084465,224.27386992361596
Sebastes_mystinus,2.10546172683714,-4.482595940530287,89.30377839786141
Stegastes_leucostictus,52.20430132332172,0.17114935137481435,4597.811792522335
Stegastes_partitus,30.349016833468188,2.8567801369578207,313.26804693802603
Tautogolabrus_adspersus,30.202020000000662,-4.524810174152715,16717.7853458187
Thalassoma_amblycephalum,2.012886258779829,-2.002754459212197,38.486897863443716
Thalassoma_bifasciatum,40.02251007584327,4.05605488925679,389.21144117251447
Thalassoma_hardwicke,878.7461542165156,41.062505582644675,18802.575091061055
Thalassoma_quinquevittatum,769.4587349073164,8.505476774624544,69371.2113297101
Trachinops_caudimaculatus,18.63422989995725,-0.10713173173909916,773.9547635941886
