"alpha","likelihood"
0.002,80.9981015890168
0.00213131313131313,75.5731621992424
0.00226262626262626,70.8455238792608
0.00239393939393939,66.6951397558621
0.00252525252525253,63.0299662162887
0.00265656565656566,59.7778448041447
0.00278787878787879,56.8811428269988
0.00291919191919192,54.2930942200952
0.00305050505050505,51.9752292645456
0.00318181818181818,49.8955246559343
0.00331313131313131,48.0270436368211
0.00344444444444444,46.3469177234142
0.00357575757575758,44.8355716681563
0.00370707070707071,43.4761249209949
0.00383838383838384,42.2539233366794
0.00396969696969697,41.1561684592075
0.0041010101010101,40.1716209124943
0.00423232323232323,39.2903607728476
0.00436363636363636,38.5035922531447
0.00449494949494949,37.803483203726
0.00462626262626263,37.1830322306155
0.00475757575757576,36.6359579131178
0.00488888888888889,36.1566058492697
0.00502020202020202,35.7398701918863
0.00515151515151515,35.381127045435
0.00528282828282828,35.0761776348854
0.00541414141414141,34.8211995749293
0.00554545454545455,34.6127048925153
0.00567676767676768,34.447503710049
0.00580808080808081,34.3226726975147
0.00593939393939394,34.2355275615075
0.00607070707070707,34.1835989669994
0.0062020202020202,34.1646113905929
0.00633333333333333,34.1764644873749
0.00646464646464646,34.2172166213616
0.0065959595959596,34.2850702650887
0.00672727272727273,34.378359019607
0.00685858585858586,34.4955360439155
0.00698989898989899,34.6351637142236
0.00712121212121212,34.7959043595762
0.00725252525252525,34.9765119422605
0.00738383838383838,35.1758245698035
0.00751515151515151,35.3927577408804
0.00764646464646465,35.6262982405838
0.00777777777777778,35.8754986116585
0.00790909090909091,36.1394721378062
0.00804040404040404,36.4173882832888
0.00817171717171717,36.7084685400264
0.0083030303030303,37.0119826393702
0.00843434343434343,37.327245090898
0.00856565656565656,37.6536120150423
0.0086969696969697,37.9904782402326
0.00882828282828283,38.3372746385937
0.00895959595959596,38.6934656771743
0.00909090909090909,39.058547164234
0.00922222222222222,39.432044172358
0.00935353535353535,39.8135091221277
0.00948484848484848,40.2025200118047
0.00961616161616162,40.5986787799977
0.00974747474747475,41.0016097896298
0.00987878787878788,41.4109584226997
0.010010101010101,41.8263897763869
0.0101414141414141,42.2475874519757
0.0102727272727273,42.6742524289039
0.0104040404040404,43.1061020169775
0.0105353535353535,43.5428688804476
0.0106666666666667,43.9843001282359
0.0107979797979798,44.4301564651166
0.0109292929292929,44.8802113991347
0.0110606060606061,45.3342505009621
0.0111919191919192,45.7920707112722
0.0113232323232323,46.2534796925544
0.0114545454545455,46.7182952220982
0.0115858585858586,47.1863446231529
0.0117171717171717,47.6574642315221
0.0118484848484848,48.1314988950753
0.011979797979798,48.6083015038671
0.0121111111111111,49.0877325487418
0.0122424242424242,49.569659706466
0.0123737373737374,50.053957449591
0.0125050505050505,50.5405066793838
0.0126363636363636,51.0291943802933
0.0127676767676768,51.5199132945359
0.0128989898989899,52.0125616154908
0.013030303030303,52.5070426986919
0.0131616161616162,53.0032647892924
0.0132929292929293,53.5011407649616
0.0134242424242424,54.0005878932445
0.0135555555555556,54.5015276024877
0.0136868686868687,55.0038852654954
0.0138181818181818,55.5075899951381
0.0139494949494949,56.0125744511913
0.0140808080808081,56.5187746577283
0.0142121212121212,57.0261298304395
0.0143434343434343,57.5345822132912
0.0144747474747475,58.0440769239746
0.0146060606060606,58.5545618076342
0.0147373737373737,59.0659872983957
0.0148686868686869,59.5783062882462
0.015,60.0914740028462
